"Bronx Rolling Sales File.  All Sales From July 2015 - June 2016.",,,,,,,,,,,,,,,,,,,,
"Sales File as of 6/30/2016  Co-op Sales Files as of 7/2/2016",,,,,,,,,,,,,,,,,,,,
"Neighborhood Names and Descriptive Data as of 5/26/2016",,,,,,,,,,,,,,,,,,,,
"Building Class Category is based on Building Class at Time of Sale.",,,,,,,,,,,,,,,,,,,,
"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AT PRESENT","BLOCK","LOT","EASE-MENT","BUILDING CLASS AT PRESENT","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE"
"2","BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1","2905","28"," ","A9","1665 WASHINGTON AVENUE                   ","            ","10457","1","0","1","4750","2619","1899","1","A9","0","08-07-15"
"2","BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1","2905","28"," ","A9","1665 WASHINGTON AVENUE                   ","            ","10457","1","0","1","4750","2619","1899","1","A9","0","08-07-15"
"2","BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1","3035","2"," ","S1","441 EAST 178 STREET                      ","            ","10457","1","1","2","1287","2378","1899","1","S1","0","12-18-15"
"2","BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1","3039","36"," ","S1","455 EAST 184 STREET                      ","            ","10458","1","1","2","2500","2452","1910","1","S1","0","08-18-15"
"2","BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1","3039","36"," ","S1","455 EAST 184 STREET                      ","            ","10458","1","1","2","2500","2452","1910","1","S1","400000","07-01-15"
"2","BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1","3048","27"," ","A1","538 EAST 182 STREET                      ","            ","10457","1","0","1","1209","1048","1901","1","A1","0","03-22-16"
"2","BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1","3053","86"," ","S0","2364 WASHINGTON AVENUE                   ","            ","10458","1","2","3","1911","4080","1931","1","S0","0","03-17-16"
"2","BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1","3053","102"," ","A1","2329 BASSFORD AVENUE                     ","            ","10458","1","0","1","919","1248","1901","1","A1","0","01-19-16"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","2900","61"," ","S2","406 EAST TREMONT AVENUE                  ","            ","10457","2","1","3","1855","4452","1931","1","S2","399000","02-24-16"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","2912","117"," ","B1","1538 WASHINGTON AVENUE                   ","            ","10457","2","0","2","2000","2400","1993","1","B1","493000","04-13-16"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","2912","118"," ","B1","1540 WASHINGTON AVENUE                   ","            ","10457","2","0","2","2000","2400","1993","1","B1","0","12-12-15"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","2912","139"," ","B1","3823 3 AVENUE                            ","            ","10457","2","0","2","2000","2400","1993","1","B1","430000","08-04-15"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","2929","126"," ","B1","1557 FULTON AVENUE                       ","            ","10457","2","0","2","3165","2394","1995","1","B1","505000","08-05-15"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3030","149"," ","S2","2260 WEBSTER AVENUE                      ","            ","10457","2","1","3","1620","3240","1931","1","S2","550000","03-11-16"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3030","151"," ","S2","2264 WEBSTER AVENUE                      ","            ","10457","2","1","3","1620","3240","1931","1","S2","490000","09-28-15"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3030","202"," ","B3","4465 PARK AVE                            ","            ","10457","2","0","2","1569","1497","1899","1","B3","1000","12-28-15"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3030","202"," ","B3","4465 PARK AVE                            ","            ","10457","2","0","2","1569","1497","1899","1","B3","1000","10-20-15"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3030","203"," ","B3","4461 PARK AVENUE                         ","            ","10457","2","0","2","1592","1860","1899","1","B3","100000","08-20-15"
