"Staten Island Rolling Sales File.  All Sales From July 2015 - June 2016.",,,,,,,,,,,,,,,,,,,,
"Sales File as of 6/30/2016  Co-op Sales Files as of 7/2/2016",,,,,,,,,,,,,,,,,,,,
"Neighborhood Names and Descriptive Data as of 5/26/2016",,,,,,,,,,,,,,,,,,,,
"Building Class Category is based on Building Class at Time of Sale.",,,,,,,,,,,,,,,,,,,,
"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AT PRESENT","BLOCK","LOT","EASE-MENT","BUILDING CLASS AT PRESENT","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5391","9"," ","A5","4726 AMBOY ROAD                          ","            ","10312","1","0","1","3067","1110","2002","1","A5","520000","04-21-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5394","4"," ","A2","26 FINGAL STREET                         ","            ","10312","1","0","1","13406","6540","1982","1","A2","1199000","08-26-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5395","15"," ","A1","10 EDWIN STREET                          ","            ","10312","1","0","1","7000","2200","1980","1","A1","10","04-21-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5397","51"," ","A1","23 EYLANDT STREET                        ","            ","10312","1","0","1","10120","3000","1985","1","A1","955000","12-18-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5401","5"," ","A2","28 JANSEN STREET                         ","            ","10312","1","0","1","10800","2164","1980","1","A2","0","12-01-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5401","33"," ","A1","17 WEAVER STREET                         ","            ","10312","1","0","1","11000","3214","1980","1","A1","915000","01-15-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5402","43"," ","A1","295 HAROLD AVENUE                        ","            ","10312","1","0","1","6700","3348","1980","1","A1","0","07-27-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5404","46"," ","A1","119 LENZIE STREET                        ","            ","10312","1","0","1","8000","4860","1998","1","A1","0","09-16-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5405","47"," ","A2","369 HAROLD AVENUE                        ","            ","10312","1","0","1","9800","1785","1980","1","A2","0","01-11-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5406","36"," ","A1","107 ELMBANK STREET                       ","            ","10312","1","0","1","2500","1700","1999","1","A1","480800","09-18-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5406","37"," ","A1","111 ELMBANK STREET                       ","            ","10312","1","0","1","2500","1700","1999","1","A1","520000","03-25-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","5425","45"," ","A1","37 SANDGAP STREET                        ","            ","10312","1","0","1","5000","1483","1910","1","A1","365000","12-15-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6205","14"," ","A5","97 EAGAN AVENUE                          ","            ","10312","1","0","1","1845","1854","1986","1","A5","383000","11-18-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6205","29"," ","A5","69 EAGAN AVENUE                          ","            ","10312","1","0","1","1546","1579","1986","1","A5","0","12-14-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6205","34"," ","A5","57 EAGAN AVENUE                          ","            ","10312","1","0","1","1546","1579","1986","1","A5","0","08-27-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6205","55"," ","A5","36 SEGUINE PLACE                         ","            ","10312","1","0","1","1471","1068","1986","1","A5","315000","12-21-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6205","145"," ","A5","60 SEGUINE PLACE                         ","            ","10312","1","0","1","1471","1172","1986","1","A5","325000","08-20-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6209","69"," ","A5","195 MOSELY AVENUE                        ","            ","10312","1","0","1","2665","2092","2007","1","A5","0","09-22-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6212","28"," ","A1","96 JEANNETTE AVENUE                      ","            ","10312","1","0","1","5400","2376","1970","1","A1","595000","12-08-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6212","50"," ","A5","36 LUCY LOOP                             ","            ","10312","1","0","1","2870","2200","2000","1","A5","470000","05-06-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6214","14"," ","A1","137 FABIAN STREET                        ","            ","10312","1","0","1","5000","2788","1982","1","A1","750000","01-22-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6214","33"," ","A5","48 EAGAN AVENUE                          ","            ","10312","1","0","1","2400","1852","2000","1","A5","490000","01-06-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6220","9"," ","A5","55 BARB STREET                           ","            ","10312","1","0","1","2575","1661","2004","1","A5","490000","02-24-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6220","13"," ","A5","47 BARB STREET                           ","            ","10312","1","0","1","1585","1661","2004","1","A5","450000","02-12-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6220","54"," ","A5","20 ENDVIEW STREET                        ","            ","10312","1","0","1","1648","1816","2003","1","A5","275000","03-01-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6220","72"," ","A5","60 ENDVIEW STREET                        ","            ","10312","1","0","1","3605","1816","2003","1","A5","480000","11-04-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6222","20"," ","A1","32 JEANNETTE AVENUE                      ","            ","10312","1","0","1","6000","1560","1935","1","A1","0","11-19-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6226","15"," ","A1","730 ANNADALE ROAD                        ","            ","10312","1","0","1","5200","1465","1930","1","A1","455000","07-01-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6227","33"," ","A2","146 DETROIT AVENUE                       ","            ","10312","1","0","1","4000","1848","1965","1","A2","0","04-05-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6228","25"," ","A0","158 EDGEGROVE AVENUE                     ","            ","10312","1","0","1","4000","938","1950","1","A0","0","05-11-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6228","61"," ","A2","147 DETROIT AVENUE                       ","            ","10312","1","0","1","8000","840","1920","1","A2","0","05-11-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6228","61"," ","A2","147 DETROIT AVENUE                       ","            ","10312","1","0","1","8000","840","1920","1","A2","0","04-06-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6232","72"," ","A2","994 DRUMGOOLE ROAD WEST                  ","            ","10312","1","0","1","3600","984","1960","1","A2","367500","08-18-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6232","76"," ","A1","1002 DRUMGOOLE ROAD WEST                 ","            ","10312","1","0","1","3400","1248","1970","1","A1","410000","12-31-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6233","64"," ","A2","151 RATHBUN AVENUE                       ","            ","10312","1","0","1","4000","1092","1960","1","A2","0","04-12-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6234","27"," ","A1","210 SHELDON AVENUE                       ","            ","10312","1","0","1","4000","2151","1920","1","A1","145000","11-24-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6235","53"," ","A2","193 SHELDON AVENUE                       ","            ","10312","1","0","1","12000","1128","1945","1","A2","550000","01-29-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6235","53"," ","A2","193 SHELDON AVENUE                       ","            ","10312","1","0","1","12000","1128","1945","1","A2","250000","07-24-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6239","83"," ","A1","257 CROWN AVENUE                         ","            ","10312","1","0","1","9600","1728","1975","1","A1","625000","12-22-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6243","29"," ","A1","26 SHERIDAN PLACE                        ","            ","10312","1","0","1","5500","2870","1946","1","A1","690000","04-22-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6244","36"," ","A2","102 BARCLAY AVENUE                       ","            ","10312","1","0","1","5000","1525","1950","1","A2","385000","01-08-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6245","166"," ","A1","62 HILLIS STREET                         ","            ","10312","1","0","1","4700","2560","1970","1","A1","0","02-11-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6245","166"," ","A1","62 HILLIS STREET                         ","            ","10312","1","0","1","4700","2560","1970","1","A1","555000","02-11-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6245","210"," ","A2","64 PINE TERRACE                          ","            ","10312","1","0","1","6080","2156","1960","1","A2","695000","02-01-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6246","60"," ","A1","5031 AMBOY ROAD                          ","            ","10312","1","0","1","9504","1572","1899","1","A1","570000","12-11-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6249","22"," ","A3","64 TENAFLY PLACE                         ","            ","10312","1","0","1","6175","2270","2014","1","A3","640479","10-08-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6249","294"," ","A2","952 ANNADALE ROAD                        ","            ","10312","1","0","1","4746","1794","1965","1","A2","425000","10-23-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6249","525"," ","A5","6 EAST TENAFLY AVENUE                    ","            ","10312","1","0","1","2945","1302","1975","1","A5","0","12-30-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6249","700"," ","A1","77 BENNETT AVENUE                        ","            ","10312","1","0","1","8322","2144","1986","1","A1","950000","05-04-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6254","60"," ","A1","24 NORTH RAILROAD ST                     ","            ","10312","1","0","1","3840","1800","1991","1","A1","570000","10-07-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6261","19"," ","A0","230 IONIA AVENUE                         ","            ","10312","1","0","1","8000","1600","1960","1","A0","0","07-22-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6267","74"," ","A5","327 SHELDON AVENUE                       ","            ","10312","1","0","1","2280","1960","2002","1","A5","485000","10-21-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6268","7"," ","A2","282 STAFFORD AVENUE                      ","            ","10312","1","0","1","3800","1008","1970","1","A2","540000","10-16-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6268","66"," ","A2","223 SINCLAIR AVENUE                      ","            ","10312","1","0","1","4200","1864","1965","1","A2","537000","11-20-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6268","68"," ","A2","227 SINCLAIR AVENUE                      ","            ","10312","1","0","1","4200","1884","1965","1","A2","375975","04-06-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6270","43"," ","A2","255 VINELAND AVENUE                      ","            ","10312","1","0","1","6000","2450","1975","1","A2","700000","03-22-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6277","51"," ","A1","117 ALBEE AVENUE                         ","            ","10312","1","0","1","4440","2176","1986","1","A1","630000","09-02-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6278","1"," ","A2","275 EDGEGROVE AVENUE                     ","            ","10312","1","0","1","4900","3692","1955","1","A2","0","02-02-16"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6279","16"," ","A2","215 SOUTH RAILROAD ST                    ","            ","10312","1","0","1","4080","2231","1985","1","A2","0","09-23-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6279","152"," ","A1","192 NORTH RAILROAD ST                    ","            ","10312","1","0","1","4000","2008","1975","1","A1","0","09-23-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6279","156"," ","A1","182 NORTH RAILROAD ST                    ","            ","10312","1","0","1","5600","2178","1975","1","A1","587500","09-22-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6281","28"," ","A1","360 IONIA AVENUE                         ","            ","10312","1","0","1","3600","2100","1979","1","A1","540000","10-20-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6299","40"," ","A2","73 RAMONA AVENUE                         ","            ","10312","1","0","1","4000","1968","1975","1","A2","0","10-06-15"
"5","ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1","6303","57"," ","A1","449 SINCLAIR AVENUE                      ","            ","10312","1","0","1","4400","1568","1980","1","A1","0","10-22-15"
